"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
25;"C39,C1,C2,C3,C4,C6,C7,C8,C9,C11,C12,C13,C14,C15,C17,C18,C19,C20,C22,C23,C24,C25,C28,C29,C30,C31,C32,C33,C34,C35,C37,C44,C46,C50,C51,C52,C58,C60,C65,C66,C67,C72,C73,C74,C79,C80,C109,C110,C115,C117,C123,C127,C130,C132,C134,C155,C156,C158,C177,C186,C189,C191,C195,C197,C199,C200,C203,C206,C207,C208,C209,C210,C215,C216,C217,C45,C82,C83,C86,C87";"C_0402_5MIL_DWS";80;"100nF/10V/X5R/20%";;;
26;"R66";"R_0402_5MIL_DWS";1;"0R";;;
27;"U5";"FBGA153_Pitch-0.5mm_Ball-0.25mm_Dimensions-11.50x13.00x0.80mm";1;"KLMAG2GEUF-B04P(16GB eMMC IND 153FBGA)";;;
28;"C94";"C_0402_5MIL_DWS";1;"NA";;;
29;"UEXT1";"HN2x5";1;"HN2x5";;;
30;"HEADPHONES/LINEOUT1,MIC/LINEIN1";"SCJ325P00XG0B02G";2;"SCJ325P00XG0B02G";;;
31;"Mounting_hole2,Mounting_hole3,Mounting_hole1";"Mounting_hole_3.3mm_with_5.5mm_pad";3;"Mounting_hole";;;
32;"U1";"FBGA396";1;"AllWinner-A64(FBGA396)";;;
33;"R131,R132,R127,R128,R96,R97,R98,R84,R6,R118,R55";"R_0402_5MIL_DWS";11;"NA";;;
34;"R129,R130,R126,R125,R124,R123,R122,R121,R3,R4,R33,R105,R109,R63,R64,R65,R68,R72,R18,R19";"R_0402_5MIL_DWS";20;"22R";;;
35;"T1";"DFN2x2-6L";1;"WPM1481-6\TR(DFN2X2-6L)";;;
36;"USB1";"USB_A_VERTICAL_PTH";1;"USB-SUWH-4A-LF";;;
37;"HSIC1";"B4B-PH-K-S";1;"NA(B4B-PH-K-S)";;;
38;"VR1";"SOT223";1;"AMS1117-1.2 (INDUSTRIAL)";;;
39;"RM1,RM15";"RA0805_(4X0402)_xx_BIGGEROUTPADS";2;"RA0805_(4X0402)_22R";;;
40;"RM8";"RA0805_(4X0402)_xx_BIGGEROUTPADS";1;"RA0805_(4X0402)_4.7k";;;
41;"U13";"SOT23-6";1;"MT3608(SOT23-6)";;;
42;"L16";"YS75_7X8MM";1;"2.2uH\3A/YS75/7x8";;;
43;"R62,R61,R104,R48,R53,R56,R57";"R_0402_5MIL_DWS";7;"NA(10k)";;;
44;"C162,C5,C10,C16,C21,C26,C47,C49,C53,C54,C57,C59,C63,C116,C121,C122,C124,C125,C126,C128,C129,C131,C133,C136,C138,C139,C140,C141,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C157,C159,C161,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C175,C176,C178,C179,C188,C192,C194";"C_0603_5MIL_DWS";60;"10uF/6.3V/20%";;;
45;"Sign-Antistatic";"LOGO_ANTISTATIC_1";1;"";;;
46;"R117,R92,R89,R91,R107,R108,R110,R111,R112,R113,R114,R58";"R_0402_5MIL_DWS";12;"1k";;;
47;"U12";"SO-8_208mil";1;"NA(W25Q128FVSIG)";;;
48;"MICRO_SD1";"TFC-WPAPR-08";1;"MICRO_SD(TFC-WPAPR-08)";;;
49;"CHGLED1";"LED_0603_KA";1;"LED\YELLOW/0603";;;
50;"PWRLED1,GPIO_LED1";"LED_0603_KA";2;"LED/Red/0603";;;
51;"LCD_CON1";"FPV-WZA21-40-LF";1;"FPV-WZA21-40-LF";;;
52;"MIPI-DSI1";"FPV-WZA21-20-LF";1;"FPV-WZA21-20-LF";;;
53;"U15";"QFN48_1DRILL(PADPITCH-0.5MM)";1;"KSZ9031RNXIC-TR";;;
54;"U14";"QFN68";1;"AXP803(QFN68_8x8mm)";;;
55;"L19,L20,L14";"CD32";3;"SWPA3015S1R5NT(1.5uH\2.30A/DCR<0.1R/CD32)";;;
56;"L17,L15,L18";"CD42(43)";3;"SWPA4018S1R5NT(1.5uH\3.35A/DCR<0.1R/CD43)";;;
57;"RM9,RM12";"RA1206_(4X0603)_4B8_xx";2;"NA(RA1206_(4x0603)_4B8_100k)";;;
58;"C187,C185,C212,C213";"C_0402_5MIL_DWS";4;"27pF\50V/5%";;;
59;"R93";"R_0402_5MIL_DWS";1;"10M";;;
60;"C91,C89,C174";"C_0603_5MIL_DWS";3;"NA(10uF\6.3V/20%)";;;
61;"R46";"R_0402_5MIL_DWS";1;"27k";;;
62;"Sign-RoHS";"LOGO_ROHS_1";1;"";;;
63;"C27,C55,C120,C135,C137,C142,C160,C163,C181,C182,C190,C211";"C_0603_5MIL_DWS";12;"1uF/10V/10%";;;
64;"C36,C38,C43,C56,C61";"C_0603_5MIL_DWS";5;"2.2uF\6.3V/10%";;;
65;"C42,C204,C205,C214,C218,C219";"C_0603_5MIL_DWS";6;"22uF\6.3V/20%";;;
66;"C48,C62,C84,C85";"C_0402_5MIL_DWS";4;"33pF\50V/5%";;;
67;"C64,C68,C71,C75,C78,C118,C119,C180,C201,C202";"C_0805_5MIL_DWS";10;"47uF\6.3V/20%";;;
68;"C69,C70,C76,C77";"C_0805_5MIL_DWS";4;"NA(47uF\6.3V/20%)";;;
69;"C90,C92,C81";"C_0402_5MIL_DWS";3;"NA(100nF\10V/10%)";;;
70;"C105";"C_0402_5MIL_DWS";1;"NA(10pF\50V/5%)";;;
71;"C107";"C_0402_5MIL_DWS";1;"NA(1.5pF\C0402)";;;
72;"C183,C184";"C_0402_5MIL_DWS";2;"22pF\50V/5%";;;
73;"C193";"C_0402_5MIL_DWS";1;"NA(1nF\50V/10%)";;;
74;"D2";"SMA-KA";1;"1N5822\SS34/SMA";;;
75;"FUSE2";"FUSE-5025";1;"NA(5025)";;;
76;"L1,L2,L3,L4,L5,L6,L8,L21,L23,L24";"L_0805_5MIL_DWS";10;"UPZ2012E-601-2R0TF/600R/2A";;;
77;"R2";"R_0402_5MIL_DWS";1;"100R\1%";;;
78;"R39,R43,R44,R45";"R_0402_5MIL_DWS";4;"NA(510R)";;;
79;"R60,R16,R17";"R_0402_5MIL_DWS";3;"NA(0R)";;;
80;"RM7";"RA1206_(4X0603)_4B8_xx";1;"RA1206_(4x0603)_4B8_100k";;;
81;"U6,U9";"SOT-23-5";2;"SY6280AAC(SOT23-5)";;;
82;"R38,R51";"R_0402_5MIL_DWS";2;"4.7k";;;
83;"R41";"R_0402_5MIL_DWS";1;"13k\1%";;;
84;"R70,R71,R74,R82,R90,R88,R75,R77,R47,R50";"R_0402_5MIL_DWS";10;"2.2k";;;
85;"R101,R102";"R_0402_5MIL_DWS";2;"NA(2.2k)";;;
86;"HSIC_E1,WP_Enable1";"SJ";2;"Opened";;;
87;"R103,R30,R35,R116";"R_0402_5MIL_DWS";4;"100k";;;
88;"R78";"R_1206_5MIL_DWS";1;"0.01R\1%/1206";;;
89;"R80";"R_0402_5MIL_DWS";1;"8.25k\1%";;;
90;"R81";"R_0402_5MIL_DWS";1;"1.1k\1%";;;
91;"R25";"R_0402_5MIL_DWS";1;"470R";;;
92;"R26,R29,R11,R12,R1,R5,R8";"R_0402_5MIL_DWS";7;"2k\1%";;;
93;"R32";"R_0402_5MIL_DWS";1;"NA(1M)";;;
94;"R49";"R_0402_5MIL_DWS";1;"3.92k\1%";;;
95;"R27";"R_0402_5MIL_DWS";1;"200k\1%";;;
96;"R7,R9,R10";"R_0402_5MIL_DWS";3;"243R\1%";;;
97;"R13,R14";"R_0402_5MIL_DWS";2;"NA(243R\1%)";;;
98;"Logo-OLimeX_Big";"OLIMEX_LOGO_TB";1;"";;;
99;"Logo-OSHW";"LOGO_OPENHARDWARE_8x8";1;"";;;
100;"Sign-PbFree";"LOGO_PBFREE";1;"";;;
101;"Sign-RecycleBin";"LOGO_RECYCLEBIN_1";1;"";;;
102;"3.3V/VCC-PE:2.8V1";"SJ_2_SMALL_12_TIED";1;"Opened(2-3);Closed(1-2)";;;
103;"R34,R86,R87,R94";"R_0402_5MIL_0R(Board_Mounted)";4;"0R(Board_Mounted)";;;
104;"R36";"R_0603_5MIL_0R(Board_Mounted)";1;"0R(Board_Mounted)";;;
105;"C196";"C_1206_5MIL_DWS_ISO";1;"1nF\2kV/10%/X7R";;;
106;"R115";"R_0603_5MIL_DWS";1;"12.1k\1%";;;
107;"R120";"R_0603_5MIL_DWS";1;"120R";;;
108;"C198,C88";"C_0402_5MIL_DWS";2;"NA(24pF\50V/5%)";;;
109;"D5";"SMA-KA";1;"1N4007\SMA";;;
110;"DDR-VCC1,+1.8V1,+3.0VA1,+3.3VD1,+3.3VWiFiIO1,+5V_USBOTG1,1.1V_CPUS1,1.1V_CPUX1,1.1V_SYS1,3.0V_RTC1,3.3V1,3.3V_MIPI1,IPS1,VCC-PC1,VCC-PL1,1.25_EXT1,GND1";"TP_SMD";17;"TESTPAD";;;
111;"R59";"R_0402_5MIL_DWS";1;"47k";;;
112;"GPIO1";"HN2x20";1;"NA(HN2x20)";;;
113;"DBG_UART1";"HN1x3";1;"HN1x3";;;
114;"LIPO_BAT1";"LIPO_BAT-CON2DW02R";1;"DW02R";;;
115;"PHYRST1";"HN1x2_Jumper";1;"HN1x2(Opened)";;;
116;"GNDA1";"TESTPAD_40-ROUND";1;"TESTPAD";;;
117;"PWR1";"PWRJ-2mm(YDJ-1134)";1;"PWRJ-2mm(YDJ-1134)";;;
118;"LINEINL/MICIN2,LINEINR/MICIN1,PWR_PC1";"SJ_2_SMALL";3;"Opened(2-3);Soldered(1-2)";;;
119;"HPHONEOUTL/LINEOUTL1,HPHONEOUTR/LINEOUTR1";"SJ_2_SMALL";2;"Soldered(1-2);Opened(2-3)";;;
120;"R28";"R_0402_5MIL_DWS";1;"NA(1k)";;;
121;"U7,U8,U10";"SLP2510P8_TEST";3;"NA(RCLAMP0524P(SLP2510P8))";;;
122;"D1";"DO214AA_1(K)-2(A)";1;"SMBJ6.0A";;;
123;"C93";"C_0402_5MIL_DWS";1;"24pF\50V/5%";;;
124;"L7,L9";"L_0402_5MIL_DWS";2;"NA(2.7nH\L0402)";;;
125;"ANT1";"BT_Antenna_Inverted_1ANT_2GND";1;"PCB_WIFI_ANT";;;
126;"ANT2";"U.FL-R-SMT-1";1;"NA(U.FL-R-SMT-1)";;;
