project_name,file_name,file_size,file_downloads
VikingCube-MUL,FRONT-er-pass-mul-F_Cu.gbr,2.15 kB,269
VikingCube-MUL,FRONT-er-pass-mul-F_Paste.gbr,473 B,253
VikingCube-MUL,FRONT-er-pass-mul-F_SilkS.gbr,10 kB,265
VikingCube-MUL,FRONT-er-pass-mul-NPTH.drl,33 B,268
VikingCube-MUL,FRONT-er-pass-mul-PTH.drl,1.49 kB,284
VikingCube-MUL,FRONT-er-pass-mul-B_Cu.gbr,48.57 kB,254
VikingCube-MUL,FRONT-er-pass-mul-B_Mask.gbr,1.43 kB,269
VikingCube-MUL,FRONT-er-pass-mul-B_Paste.gbr,473 B,257
Anna2040 RP2040 Uno-shaped board,anac_2040.kicad_pcb,1.82 MB,214
Anna2040 RP2040 Uno-shaped board,licence.pdf,72.28 kB,160
Hammar 32 bit 3D printer controller,hammar.kicad_pcb,2.32 MB,210
Hammar 32 bit 3D printer controller,licence.pdf,72.28 kB,164
TinyReflow solder plate,50x70_tiny.kicad_pcb,2.48 MB,214
TinyReflow solder plate,licence.pdf,72.28 kB,132
"Epi, tiny ATMega32U4 Arduino-compatible",epi.kicad_pcb,722.08 kB,286
"Epi, tiny ATMega32U4 Arduino-compatible",licence.pdf,72.28 kB,276
Hematuria Meter,circuit_diagram.pdf,37.2 kB,150
Hematuria Meter,load_sens_body_v3.STL,104.18 kB,282
Hematuria Meter,load_sens_lid.STL,145.79 kB,259
Hematuria Meter,receiver_batt_base.STL,154.67 kB,254
Hematuria Meter,receiver_batterycover.STL,37.97 kB,257
Hematuria Meter,receiver_faceplate.STL,191.29 kB,257
Hematuria Meter,receiver_sm_faceplate.STL,163.75 kB,243
Hematuria Meter,screw_knob.STL,50.28 kB,255
Hematuria Meter,spec_clip_led+ethernet.STL,130.94 kB,252
Hematuria Meter,spec_clip_ledeth_cap.STL,198.81 kB,233
Hematuria Meter,spec_top_shield.STL,49.89 kB,247
Hematuria Meter,spectral_shield.STL,112.19 kB,250
Home Energy Sensor,Gerber_BoardOutline.GKO,479 B,261
Home Energy Sensor,Gerber_BottomLayer.GBL,4.64 kB,1549
Home Energy Sensor,Gerber_BottomSolderMaskLayer.GBS,3.33 kB,269
Home Energy Sensor,Gerber_Drill_NPTH.DRL,359 B,278
Home Energy Sensor,Gerber_Drill_PTH.DRL,1.98 kB,254
Home Energy Sensor,Gerber_TopLayer.GTL,7.4 kB,1561
Home Energy Sensor,Gerber_TopSilkLayer.GTO,62.26 kB,287
Home Energy Sensor,Gerber_TopSolderMaskLayer.GTS,3.33 kB,284
backup power auto-switch circuit,source auto change-B_Cu.gbr,43.53 kB,166
backup power auto-switch circuit,source auto change-B_Fab.gbr,31.08 kB,156
backup power auto-switch circuit,source auto change-B_Mask.gbr,31.38 kB,167
backup power auto-switch circuit,source auto change-B_Silkscreen.gbr,31.1 kB,146
backup power auto-switch circuit,source auto change-Edge_Cuts.gbr,31.07 kB,157
backup power auto-switch circuit,source auto change-F_Cu.gbr,47.79 kB,154
backup power auto-switch circuit,source auto change-F_Fab.gbr,39.87 kB,171
backup power auto-switch circuit,source auto change-F_Mask.gbr,33.35 kB,173
backup power auto-switch circuit,source auto change-F_Silkscreen.gbr,33.5 kB,176
backup power auto-switch circuit,source auto change-NPTH.drl,290 B,200
backup power auto-switch circuit,source auto change-PTH.drl,685 B,169
backup power auto-switch circuit,source auto change-User_Comments.gbr,31.08 kB,172
backup power auto-switch circuit,source auto change-User_Drawings.gbr,39.01 kB,181
backup power auto-switch circuit,source auto change-job.gbrjob,3.05 kB,191
backup power auto-switch circuit,source auto change.pdf,24.72 kB,220
Small arduino pro mini rfm69 shield,shield.kicad_pcb,98.96 kB,1530
Small arduino pro mini rfm69 shield,RFM69HW.kicad_mod,228.19 kB,162
Small arduino pro mini rfm69 shield,pro_mini.kicad_mod,7.36 kB,163
Small arduino pro mini rfm69 shield,pro_mini_rfmshield.kicad_mod,8.33 kB,160
Small arduino pro mini rfm69 shield,shield-B_Cu.gbr,5.1 kB,237
Small arduino pro mini rfm69 shield,shield-B_Mask.gbr,1.91 kB,253
Small arduino pro mini rfm69 shield,shield-B_Silkscreen.gbr,464 B,278
Small arduino pro mini rfm69 shield,shield-Edge_Cuts.gbr,693 B,254
Small arduino pro mini rfm69 shield,shield-F_Cu.gbr,8.59 kB,249
Small arduino pro mini rfm69 shield,shield-F_Mask.gbr,2.35 kB,285
Small arduino pro mini rfm69 shield,shield-F_Silkscreen.gbr,59.18 kB,281
Small arduino pro mini rfm69 shield,shield-job.gbrjob,2.36 kB,1579
Small arduino pro mini rfm69 shield,shield.drl,1.1 kB,282
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-B_Cu.gbr,6.11 kB,153
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-B_Mask.gbr,1.84 kB,184
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-B_Paste.gbr,488 B,187
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-B_Silkscreen.gbr,489 B,162
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-Edge_Cuts.gbr,941 B,152
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-F_Cu.gbr,11.88 kB,158
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-F_Mask.gbr,4.27 kB,183
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-F_Paste.gbr,2.9 kB,189
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-F_Silkscreen.gbr,90.84 kB,154
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-NPTH.drl,285 B,197
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-PTH.drl,1.3 kB,195
BC805M (nRF52805) development board integrated with nRF52-DK,BC805_nRF52_DK_shield_v002-job.gbrjob,2.87 kB,193
BC805M (nRF52805) development board integrated with nRF52-DK,schematic v002.pdf,42.05 kB,276
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-B_Cu.gbr,5.74 kB,178
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-B_Mask.gbr,2.15 kB,190
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-B_Paste.gbr,493 B,159
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-B_Silkscreen.gbr,71.78 kB,161
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-Edge_Cuts.gbr,946 B,153
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-F_Cu.gbr,6.17 kB,143
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-F_Mask.gbr,2.15 kB,191
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-F_Paste.gbr,493 B,187
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-F_Silkscreen.gbr,70.64 kB,175
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-NPTH.drl,285 B,1474
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-PTH.drl,1.41 kB,179
nRF52-DK external programming shield,nRF52_DK_programmer_shield_v002-job.gbrjob,2.92 kB,195
nRF52-DK external programming shield,schematic.pdf,32.7 kB,138
XL Proto-Breadboard,XL_Proto_Breadboard_v001-B_Cu.gbr,28.26 kB,229
XL Proto-Breadboard,XL_Proto_Breadboard_v001-B_Mask.gbr,26 kB,191
XL Proto-Breadboard,XL_Proto_Breadboard_v001-B_Paste.gbr,525 B,185
XL Proto-Breadboard,XL_Proto_Breadboard_v001-B_Silkscreen.gbr,526 B,208
XL Proto-Breadboard,XL_Proto_Breadboard_v001-Edge_Cuts.gbr,1.41 kB,154
XL Proto-Breadboard,XL_Proto_Breadboard_v001-F_Cu.gbr,28.21 kB,163
XL Proto-Breadboard,XL_Proto_Breadboard_v001-F_Mask.gbr,26 kB,160
XL Proto-Breadboard,XL_Proto_Breadboard_v001-F_Paste.gbr,525 B,180
XL Proto-Breadboard,XL_Proto_Breadboard_v001-F_Silkscreen.gbr,8.89 kB,180
XL Proto-Breadboard,XL_Proto_Breadboard_v001-NPTH.drl,333 B,191
XL Proto-Breadboard,XL_Proto_Breadboard_v001-PTH.drl,16.38 kB,199
XL Proto-Breadboard,XL_Proto_Breadboard_v001-job.gbrjob,2.75 kB,197
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-B_Cu.gbr,10.23 kB,189
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-B_Mask.gbr,3.97 kB,196
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-B_Paste.gbr,2.3 kB,162
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-B_Silkscreen.gbr,84.65 kB,189
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-Edge_Cuts.gbr,1.43 kB,185
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-F_Cu.gbr,11.82 kB,166
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-F_Mask.gbr,4.51 kB,159
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-F_Paste.gbr,2.86 kB,174
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-F_Silkscreen.gbr,67.41 kB,194
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-NPTH.drl,333 B,217
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-PTH.drl,1.45 kB,185
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v000-job.gbrjob,2.91 kB,169
Fork of BigClive AA Battery Trickle Charger,BigClive_AA_Battery_Trickle_Charger_v001.rar,89.96 kB,62
Fork of BigClive AA Battery Trickle Charger,schematic_v001.pdf,72.68 kB,241
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-B_Cu.gbr,34.55 kB,161
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-B_Mask.gbr,1.15 kB,152
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-B_Paste.gbr,468 B,154
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-B_Silkscreen.gbr,38.72 kB,145
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-Edge_Cuts.gbr,698 B,172
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-F_Cu.gbr,22.44 kB,153
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-F_Mask.gbr,2.58 kB,163
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-F_Paste.gbr,1.89 kB,164
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-F_Silkscreen.gbr,35.98 kB,153
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-NPTH.drl,272 B,173
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-PTH.drl,773 B,180
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a-job.gbrjob,2.76 kB,174
nRF24L01 Adapter Board (AH),nRF24L01_shield_v001a.kicad_pcb,109.74 kB,182
nRF24L01 Adapter Board (AH),schematic_v001.pdf,24.07 kB,143
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-B_Cu.gbr,13.97 kB,173
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-B_Mask.gbr,983 B,184
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-B_Paste.gbr,518 B,161
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-B_Silkscreen.gbr,40.07 kB,185
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-Edge_Cuts.gbr,748 B,162
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-F_Cu.gbr,8.78 kB,161
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-F_Mask.gbr,2.7 kB,173
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-F_Paste.gbr,2.24 kB,186
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-F_Silkscreen.gbr,8.6 kB,145
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-NPTH.drl,333 B,191
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-PTH.drl,752 B,195
Ra-01 400Mhz LoRa AI-Thinker adapter board,Ra-01_433Mhz_v001-job.gbrjob,2.74 kB,188
Ra-01 400Mhz LoRa AI-Thinker adapter board,schematic_v001.pdf,21.18 kB,150
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-B_Cu.gbr,20.37 kB,181
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-B_Mask.gbr,985 B,176
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-B_Paste.gbr,520 B,168
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-B_Silkscreen.gbr,39.99 kB,154
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-Edge_Cuts.gbr,750 B,169
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-F_Cu.gbr,6.88 kB,157
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-F_Mask.gbr,2.59 kB,161
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-F_Paste.gbr,2.14 kB,191
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-F_Silkscreen.gbr,7.77 kB,159
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-NPTH.drl,333 B,215
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-PTH.drl,723 B,171
RFM69 900Mhz Adapter Board,RFM69HW_Shield_v001-job.gbrjob,2.76 kB,214
RFM69 900Mhz Adapter Board,schematic_v001.pdf,20.87 kB,151
nRF24L01 adapter board,nRF24L01_shield_v001-B_Cu.gbr,3.29 kB,233
nRF24L01 adapter board,nRF24L01_shield_v001-B_Mask.gbr,1.2 kB,192
nRF24L01 adapter board,nRF24L01_shield_v001-B_Paste.gbr,521 B,175
nRF24L01 adapter board,nRF24L01_shield_v001-B_Silkscreen.gbr,38.38 kB,196
nRF24L01 adapter board,nRF24L01_shield_v001-Edge_Cuts.gbr,751 B,183
nRF24L01 adapter board,nRF24L01_shield_v001-F_Cu.gbr,6.69 kB,193
nRF24L01 adapter board,nRF24L01_shield_v001-F_Mask.gbr,2.63 kB,181
nRF24L01 adapter board,nRF24L01_shield_v001-F_Paste.gbr,1.94 kB,178
nRF24L01 adapter board,nRF24L01_shield_v001-F_Silkscreen.gbr,12.64 kB,203
nRF24L01 adapter board,nRF24L01_shield_v001-NPTH.drl,333 B,221
nRF24L01 adapter board,nRF24L01_shield_v001-PTH.drl,700 B,191
nRF24L01 adapter board,nRF24L01_shield_v001-job.gbrjob,2.71 kB,196
nRF24L01 adapter board,schematic_v001.pdf,24.07 kB,183
nRF24L01 adapter board,nRF24L01_KiCAD6_project_archive.rar,46.49 kB,96
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-B_Cu.gbr,13.93 kB,224
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-B_Mask.gbr,992 B,204
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-B_Paste.gbr,527 B,191
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-B_Silkscreen.gbr,42.49 kB,179
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-Edge_Cuts.gbr,757 B,214
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-F_Cu.gbr,8.65 kB,209
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-F_Mask.gbr,2.6 kB,203
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-F_Paste.gbr,2.15 kB,187
Ra-01SH 900MHz AI-Thinker LoRa adapter board,Ra-01SH_915MHz_shield_v001-F_Silkscreen.gbr,7.95 kB,184
